Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year
75,Vietnam,89.3,30.3,55.9,59.9,34.5,24.1,29.3,84.2,71.1,2023M
76,Egypt,88.6,17.4,53.0,47.7,21.7,12.5,48.5,82.9,90.8,2023M
77,Lebanon,82.4,19.4,53.5,62.4,53.1,24.6,38.4,89.4,94.7,2023M
78,Philippines,82.1,21.0,57.4,67.4,35.9,31.0,42.8,72.9,68.2,2023M
79,Peru,80.3,28.0,32.5,56.3,33.6,18.9,49.1,83.0,97.7,2023M
80,Iran,77.6,21.6,50.2,52.3,28.4,22.2,47.2,75.5,65.7,2023M
81,Sri Lanka,76.5,14.6,57.8,71.5,33.8,35.3,56.4,59.6,59.1,2023M
82,Venezuela,74.4,11.3,17.9,39.2,41.8,17.1,32.8,75.5,99.9,2023M
83,Bangladesh,69.5,26.2,37.5,42.0,26.2,12.8,57.4,85.2,72.9,2023M
84,Nigeria,49.5,9.4,34.2,48.0,23.2,18.2,62.8,88.2,60.8,2023M
1,Netherlands,196.7,107.8,72.7,77.1,68.6,7.2,25.5,23.7,86.8,2023
2,Denmark,194.7,105.0,73.4,79.2,78.6,6.6,28.5,21.3,81.8,2023
3,Switzerland,193.6,118.7,76.4,74.5,114.2,9.7,28.4,19.6,79.6,2023
4,Luxembourg,192.9,127.1,64.9,75.0,73.2,11.5,29.1,21.9,82.6,2023
5,Finland,190.5,98.8,73.2,77.1,67.5,7.8,27.2,12.0,59.2,2023
6,Iceland,187.5,90.1,75.1,67.0,83.3,7.0,20.6,15.2,68.8,2023
7,Austria,185.8,91.2,72.7,77.2,66.0,10.3,24.8,21.5,77.1,2023
8,Oman,184.7,108.2,80.3,58.2,47.8,3.6,22.6,37.2,67.2,2023
9,Australia,183.0,110.9,54.5,75.3,75.3,7.5,36.1,25.4,93.9,2023
10,Norway,182.7,95.0,66.5,76.7,88.6,8.1,26.7,17.7,68.7,2023
11,Germany,179.0,107.6,62.4,71.9,62.9,10.7,31.2,28.8,83.3,2023
12,New Zealand,176.7,93.0,54.2,71.0,72.9,9.0,31.4,24.2,96.4,2023
13,Japan,176.3,100.4,76.9,80.3,64.6,10.3,40.0,39.2,85.3,2023
14,Sweden,175.8,101.2,51.5,68.6,62.9,9.9,29.4,18.0,74.9,2023
15,United Arab Emirates,175.7,123.4,84.9,69.6,60.3,3.0,36.1,48.2,45.8,2023
16,Spain,173.8,82.5,64.3,77.9,50.6,7.8,29.1,39.6,93.7,2023
17,United States,172.7,115.7,51.0,68.6,72.4,4.5,33.1,36.1,77.3,2023
18,Estonia,171.9,61.4,74.9,74.1,54.8,11.8,23.8,17.9,64.3,2023
19,Slovenia,169.3,61.7,75.8,65.3,50.8,12.1,26.1,22.7,77.6,2023
20,Qatar,167.5,123.6,85.2,73.8,59.5,5.3,29.7,60.0,36.0,2023
21,United Kingdom,166.4,98.9,53.1,74.1,61.5,8.3,34.6,40.4,88.1,2023
22,Portugal,163.8,51.7,68.5,71.5,45.3,12.6,29.5,30.6,97.8,2023
23,Czech Republic,163.6,71.8,73.4,75.5,48.9,14.9,29.5,35.3,78.0,2023
24,Croatia,163.2,56.2,75.4,63.9,46.7,13.2,26.5,32.0,89.7,2023
25,Canada,162.3,102.1,55.7,70.4,66.1,9.4,33.7,29.1,53.2,2023
26,Lithuania,161.5,56.7,67.0,73.2,48.8,12.7,25.0,25.7,69.9,2023
27,Belgium,157.3,94.5,50.9,75.2,65.6,6.5,36.3,50.1,86.0,2023
28,Singapore,154.2,95.6,70.8,70.9,85.9,15.5,41.4,33.1,57.5,2023
29,Ireland,154.0,82.6,54.1,51.8,70.5,7.3,37.9,34.8,89.1,2023
30,France,153.8,86.2,44.7,79.4,68.7,11.8,35.0,42.9,89.7,2023
31,Latvia,153.2,52.9,62.3,62.4,50.9,8.1,29.7,31.5,74.7,2023
32,Saudi Arabia,151.8,101.9,75.4,61.2,50.6,3.0,29.4,63.3,41.4,2023
33,Slovakia,149.7,56.3,68.6,60.1,44.2,13.2,28.1,38.3,78.1,2023
34,Cyprus,148.5,54.8,68.6,54.7,55.9,6.8,22.9,55.3,93.3,2023
35,Israel,148.4,80.5,67.4,73.5,76.4,14.1,36.4,57.4,93.9,2023
36,Taiwan (China),147.8,71.3,83.8,85.9,54.2,20.1,32.0,64.9,83.5,2023
37,Italy,140.9,66.5,53.1,66.3,61.3,9.7,33.5,54.7,90.8,2023
38,Poland,139.9,64.0,70.8,57.6,38.6,13.3,32.1,54.5,76.0,2023
39,South Africa,138.8,83.9,24.6,63.7,37.8,3.4,39.1,56.4,95.3,2023
40,Hungary,134.3,53.1,66.1,54.4,39.2,14.6,35.6,47.7,79.5,2023
41,South Korea,133.0,85.5,74.5,83.0,70.4,26.0,39.8,62.3,68.4,2023
42,Romania,132.9,52.5,68.0,56.5,37.4,10.9,33.5,58.5,77.2,2023
43,Bulgaria,131.6,51.2,62.0,56.7,40.5,9.2,28.9,63.7,82.8,2023
44,Uruguay,131.4,38.4,47.3,68.4,59.9,13.7,37.3,43.9,98.0,2023
45,Bosnia And Herzegovina,128.6,48.6,57.1,54.9,35.1,11.4,27.1,60.6,82.3,2023
46,Greece,128.6,41.9,53.0,57.5,54.6,11.5,33.7,51.6,91.8,2023
47,Mexico,127.0,43.5,45.6,72.5,37.3,8.4,39.3,58.5,85.8,2023
48,Malaysia,126.0,65.7,47.1,70.0,35.0,8.1,37.0,61.7,57.9,2023
49,Kuwait,125.0,96.7,67.4,59.7,46.8,11.5,33.4,67.8,20.2,2023
50,Ecuador,122.0,37.0,40.6,69.5,35.1,11.1,37.8,58.4,94.5,2023
51,Turkey,119.4,31.0,59.9,71.0,28.1,12.6,43.9,65.1,88.1,2023
52,Panama,119.0,36.4,56.3,61.0,48.2,10.2,35.1,57.3,67.8,2023
53,Georgia,118.6,25.9,74.1,54.8,38.9,13.3,35.7,67.8,88.5,2023
54,India,117.9,64.6,55.4,65.1,22.4,9.2,46.4,73.0,65.0,2023
55,Serbia,117.4,39.6,61.8,52.2,37.2,15.9,31.1,64.1,83.2,2023
56,Jordan,116.8,38.0,59.0,64.9,46.8,7.4,41.0,76.4,89.0,2023
57,Belarus,114.7,36.4,43.6,47.1,35.4,13.8,29.9,44.5,64.4,2023
58,Malta,112.7,50.6,57.5,45.4,61.4,12.1,29.2,81.2,97.4,2023
59,Ukraine,112.5,38.1,53.3,55.2,25.6,12.2,37.8,62.1,70.7,2023
60,Argentina,111.0,36.8,35.7,68.9,31.2,22.7,43.7,51.3,98.3,2023
61,North Macedonia,110.0,38.2,59.1,55.3,31.4,13.3,25.7,79.7,76.3,2023
62,Azerbaijan,109.6,32.0,68.2,46.8,28.9,14.5,39.6,73.9,91.4,2023
63,Morocco,106.5,33.6,53.2,45.8,29.3,14.2,37.0,69.3,90.0,2023
64,Brazil,105.2,28.7,33.4,58.2,34.7,18.3,41.0,53.7,95.7,2023
65,China,104.1,62.3,73.7,67.5,39.2,34.6,38.8,79.3,78.4,2023
66,Russia,103.0,40.9,60.7,59.7,40.8,16.3,43.9,60.9,46.0,2023
67,Pakistan,102.1,24.4,57.7,59.5,18.0,13.9,38.1,73.6,70.8,2023
68,Chile,102.0,37.3,41.9,64.4,44.1,15.6,35.5,77.9,90.2,2023
69,Hong Kong (China),101.9,67.7,78.5,65.8,75.7,44.9,42.7,67.2,83.6,2023
70,Kenya,101.4,32.8,43.0,61.8,32.4,16.0,51.6,69.2,99.8,2023
71,Colombia,101.2,31.1,39.8,67.9,23.1,17.5,47.9,63.1,82.9,2023
72,Thailand,100.5,33.2,61.3,77.9,40.7,24.0,39.0,75.3,69.4,2023
73,Indonesia,98.0,27.5,54.1,60.5,31.2,18.5,42.7,67.1,70.5,2023
74,Kazakhstan,97.6,38.1,47.3,59.9,28.1,9.7,34.5,73.1,39.8,2023
75,Egypt,90.8,21.9,52.8,47.6,21.6,12.0,48.2,83.2,90.8,2023
76,Vietnam,89.3,31.5,55.5,59.3,35.7,23.5,29.6,85.1,71.2,2023
77,Lebanon,88.9,22.7,53.8,63.2,65.8,18.3,38.7,89.4,94.7,2023
78,Peru,81.8,31.3,32.4,55.9,32.4,19.0,49.6,82.4,97.7,2023
79,Philippines,81.7,22.4,57.3,67.8,34.0,30.1,42.9,72.9,61.6,2023
80,Iran,73.8,21.1,50.1,52.3,35.2,24.4,47.3,75.3,63.7,2023
81,Sri Lanka,72.8,16.0,58.6,72.0,25.3,40.8,56.9,59.4,59.1,2023
82,Venezuela,72.6,12.4,17.4,39.3,41.6,18.9,33.1,75.7,99.9,2023
83,Bangladesh,70.1,26.9,37.4,42.3,26.6,12.6,57.4,85.1,72.9,2023
84,Nigeria,38.5,8.4,34.5,48.5,30.9,28.2,63.4,88.0,60.8,2023
1,Switzerland,195.1,116.2,77.9,75.3,110.3,8.9,28.4,19.4,79.6,2022M
2,Denmark,194.2,99.8,73.7,79.8,73.1,6.3,28.4,20.9,81.8,2022M
3,Netherlands,191.5,99.6,72.4,75.9,67.7,7.4,26.6,24.7,86.9,2022M
4,Australia,190.7,117.6,55.2,77.8,72.3,5.6,34.7,24.2,93.9,2022M
5,Finland,186.8,91.0,73.2,76.8,63.7,7.5,27.6,12.0,56.6,2022M
6,Iceland,184.5,82.6,75.7,66.6,86.6,6.8,20.0,15.8,68.8,2022M
7,Norway,179.6,86.3,66.5,77.1,85.9,7.8,26.9,18.0,68.7,2022M
8,Germany,178.3,102.7,63.0,72.4,59.6,10.6,31.1,28.1,82.9,2022M
9,Austria,178.1,75.1,73.2,76.2,64.1,10.9,25.4,22.2,77.1,2022M
10,New Zealand,176.8,85.0,55.4,73.0,69.0,8.0,30.7,23.9,96.4,2022M
11,United Arab Emirates,174.4,118.9,85.1,69.7,58.0,2.9,36.1,47.9,45.2,2022M
12,Estonia,173.8,60.4,75.9,73.9,49.5,10.1,24.0,18.4,64.3,2022M
13,Luxembourg,173.8,96.1,64.4,71.5,72.1,14.0,31.7,24.1,82.6,2022M
14,Sweden,173.7,94.9,51.2,68.8,61.8,9.5,29.4,18.0,74.9,2022M
15,Spain,173.0,77.3,65.0,78.1,47.5,7.5,29.2,39.1,93.6,2022M
16,Japan,172.6,91.1,77.8,80.5,62.8,10.5,40.7,39.1,84.8,2022M
17,Oman,172.1,78.8,80.3,58.2,48.1,4.6,22.6,36.8,67.2,2022M
18,Slovenia,168.7,57.9,76.8,65.1,47.3,11.7,26.3,22.8,77.6,2022M
19,United States,167.2,99.9,51.6,68.9,69.9,4.6,32.9,35.7,77.1,2022M
20,United Kingdom,164.8,92.9,53.4,74.5,60.4,8.0,34.4,40.4,88.0,2022M
21,Czech Republic,163.8,69.9,74.2,75.5,44.3,14.9,29.4,35.3,78.3,2022M
22,Canada,163.8,101.7,56.4,70.8,68.8,8.9,33.6,28.9,55.3,2022M
23,Lithuania,163.0,55.7,67.4,73.4,43.1,12.2,25.3,24.8,69.9,2022M
24,Croatia,162.7,52.8,76.0,63.7,43.7,13.2,26.7,31.4,89.9,2022M
25,Portugal,162.2,47.9,68.5,72.1,42.2,13.0,29.6,31.0,97.8,2022M
26,Belgium,155.8,86.3,53.3,75.5,62.8,6.6,36.4,49.8,86.0,2022M
27,Qatar,155.6,98.1,85.8,73.7,60.6,6.9,30.0,60.0,36.0,2022M
28,Singapore,154.5,94.6,72.8,71.1,79.1,16.8,41.2,33.0,57.5,2022M
29,France,152.7,79.6,45.6,80.0,65.6,11.8,34.7,42.2,90.0,2022M
30,Latvia,152.2,49.8,61.5,63.2,45.2,7.7,30.2,32.0,74.7,2022M
31,Ireland,151.7,75.2,54.1,52.0,66.7,7.0,37.9,35.0,89.1,2022M
32,Slovakia,150.5,53.8,69.5,60.1,41.0,12.0,28.1,38.6,78.1,2022M
33,Saudi Arabia,150.2,93.3,75.4,61.2,50.3,2.9,29.0,63.3,46.0,2022M
34,Cyprus,148.2,54.5,68.9,54.1,52.5,6.8,23.1,55.2,92.2,2022M
35,Israel,146.4,73.5,67.8,73.7,77.3,13.3,36.4,57.8,93.9,2022M
36,Taiwan,143.8,61.8,83.9,86.0,55.9,19.7,31.7,64.9,81.6,2022M
37,Italy,137.3,58.0,53.8,66.7,58.5,11.1,33.6,54.4,91.7,2022M
38,South Africa,136.6,77.8,24.6,64.0,37.9,3.3,39.2,56.4,95.3,2022M
39,Hungary,136.2,53.2,66.1,54.3,34.6,13.2,35.6,47.8,79.5,2022M
40,Poland,132.2,60.7,67.9,54.6,35.1,13.5,32.3,60.1,76.0,2022M
41,Puerto Rico,131.1,65.4,38.2,56.9,64.6,4.2,34.8,48.9,71.2,2022M
42,Romania,131.1,48.8,67.5,56.5,34.9,11.1,33.4,58.5,76.5,2022M
43,South Korea,130.8,81.3,73.9,83.0,67.0,26.5,39.6,62.4,68.4,2022M
44,Bosnia And Herzegovina,129.4,46.5,57.3,55.3,32.2,10.4,26.2,60.2,80.5,2022M
45,Bulgaria,129.0,46.9,61.6,56.8,37.6,9.6,29.0,63.8,81.2,2022M
46,Greece,127.1,38.4,52.0,57.2,50.2,12.1,33.7,51.8,93.8,2022M
47,Mexico,126.9,41.1,46.1,72.8,35.1,8.2,39.2,58.3,85.5,2022M
48,India,124.4,76.4,55.4,65.6,23.9,7.4,46.4,73.0,64.7,2022M
49,Costa Rica,122.9,38.6,46.1,63.0,43.6,10.0,60.2,44.2,99.5,2022M
50,Uruguay,122.7,28.6,47.9,68.0,59.1,18.1,37.3,44.8,98.0,2022M
51,Malaysia,121.6,59.4,45.6,70.1,34.4,8.7,37.2,62.2,57.5,2022M
52,Serbia,120.4,41.6,61.8,52.4,33.3,14.8,31.0,63.3,83.2,2022M
53,Ecuador,120.3,33.6,42.1,68.9,35.7,11.8,37.9,58.3,94.5,2022M
54,Turkey,119.5,28.0,60.1,70.7,28.4,11.9,44.0,65.1,90.4,2022M
55,Georgia,119.2,25.1,74.7,54.5,34.9,12.3,35.6,69.1,88.5,2022M
56,Kuwait,118.8,81.8,67.0,58.9,46.0,11.2,33.4,67.8,20.2,2022M
57,Tunisia,117.3,28.6,56.1,57.3,25.5,11.2,32.5,69.9,94.5,2022M
58,Panama,115.3,32.7,56.4,61.1,48.3,11.3,36.7,57.8,67.8,2022M
59,Jordan,113.7,32.2,59.0,64.9,47.5,8.2,41.2,76.2,89.0,2022M
60,Ukraine,112.1,36.3,53.4,55.2,30.7,11.3,37.9,62.3,70.7,2022M
61,Argentina,110.1,33.6,35.9,69.0,32.1,22.8,43.4,50.9,98.3,2022M
62,North Macedonia,109.8,35.6,59.0,55.6,28.5,12.7,26.0,79.5,76.3,2022M
63,Belarus,109.6,32.3,42.8,46.1,26.4,17.4,29.9,44.4,64.4,2022M
64,Azerbaijan,108.8,29.4,68.3,46.6,28.3,14.1,39.6,74.0,91.4,2022M
65,Morocco,107.2,32.7,52.6,46.4,29.7,13.2,36.9,69.3,90.0,2022M
66,Malta,106.1,44.8,56.3,38.2,57.7,12.9,30.0,81.1,97.4,2022M
67,Brazil,104.0,27.3,33.2,57.9,34.8,18.5,41.1,53.7,94.9,2022M
68,Hong Kong,103.9,66.9,78.4,66.2,76.6,42.6,42.9,67.2,83.6,2022M
69,Russia,103.2,42.2,60.7,59.9,48.1,16.9,44.1,60.8,48.9,2022M
70,Pakistan,103.1,24.4,58.4,59.5,17.8,13.4,38.2,73.7,70.8,2022M
71,Colombia,102.9,28.3,41.3,67.5,25.2,16.9,47.9,63.1,88.3,2022M
72,Chile,102.9,35.8,43.5,64.2,37.2,15.1,35.8,78.3,90.2,2022M
73,Thailand,101.9,30.8,61.1,77.6,38.6,21.6,39.1,75.4,69.4,2022M
74,Lebanon,97.7,32.0,53.4,62.9,68.5,12.7,38.7,89.5,94.7,2022M
75,Indonesia,96.9,25.5,53.9,60.5,32.2,17.8,43.4,67.2,69.0,2022M
76,Kazakhstan,96.6,35.2,47.0,59.9,26.5,9.6,34.7,73.0,39.8,2022M
77,China,95.6,56.2,71.2,66.7,40.3,38.4,39.5,80.2,79.4,2022M
78,Egypt,91.2,21.7,53.4,47.4,26.3,11.1,48.3,83.4,90.8,2022M
79,Kenya,90.9,32.2,43.7,63.4,33.4,26.9,52.1,69.2,99.8,2022M
80,Vietnam,86.3,28.2,54.2,59.1,35.6,24.1,29.7,85.6,71.2,2022M
81,Philippines,81.4,20.1,57.6,67.7,33.6,29.6,42.9,72.9,61.6,2022M
82,Peru,81.3,28.5,32.8,55.8,30.7,18.6,49.6,82.4,97.7,2022M
83,Venezuela,73.0,12.7,16.8,39.2,41.8,18.3,33.1,75.7,99.9,2022M
84,Iran,69.4,18.0,50.3,52.3,36.5,28.6,46.7,75.2,65.7,2022M
85,Sri Lanka,68.9,15.3,59.0,72.0,22.4,44.4,56.9,60.3,59.1,2022M
86,Bangladesh,68.5,25.3,36.9,41.7,29.3,11.9,57.5,85.5,71.3,2022M
87,Nigeria,45.1,8.2,35.9,48.5,30.0,22.3,63.4,88.1,60.8,2022M
1,Switzerland,195.3,118.4,78.3,74.8,123.3,8.3,28.5,19.6,80.2,2022
2,Denmark,192.4,99.5,73.4,80.1,84.1,6.8,28.5,21.0,81.8,2022
3,Netherlands,185.4,88.0,72.1,75.6,75.7,7.2,27.4,25.1,87.1,2022
4,Finland,185.0,91.0,72.7,76.3,73.2,7.9,27.8,12.1,56.6,2022
5,Australia,183.8,104.6,56.2,78.1,77.7,7.2,34.8,23.9,92.7,2022
6,Iceland,182.3,77.1,76.5,66.4,94.9,6.4,19.8,15.8,68.8,2022
7,Germany,180.3,103.1,63.6,73.2,65.6,8.9,31.1,27.8,82.4,2022
8,Austria,179.2,77.3,73.9,76.7,71.0,10.7,25.5,21.7,77.1,2022
9,New Zealand,176.8,83.6,56.7,73.3,74.5,8.0,30.8,23.6,96.7,2022
10,Norway,176.4,83.1,66.2,76.8,100.9,8.0,26.9,17.9,68.7,2022
11,Sweden,175.3,98.1,51.0,68.7,71.7,7.8,29.4,18.3,74.9,2022
12,Estonia,174.2,63.5,76.2,73.3,53.7,9.3,24.5,19.7,64.3,2022
13,Oman,173.7,84.2,80.0,58.2,49.4,4.6,22.8,37.2,67.2,2022
14,Luxembourg,173.6,98.8,64.3,70.8,80.5,13.6,32.7,23.9,82.6,2022
15,United States,170.7,106.3,51.8,69.1,70.1,4.0,32.9,35.3,76.8,2022
16,Japan,169.5,87.1,77.9,80.5,77.0,11.0,40.7,38.8,85.3,2022
17,Slovenia,169.0,59.5,77.3,65.2,53.9,11.5,26.5,22.9,77.6,2022
18,Spain,168.5,70.0,66.1,78.4,53.9,8.8,29.2,39.7,93.8,2022
19,Czech Republic,162.6,66.5,74.5,75.3,48.2,13.6,29.5,35.9,77.1,2022
20,Portugal,162.5,46.8,69.4,72.0,47.9,12.2,29.9,30.5,97.8,2022
21,Lithuania,161.8,58.7,66.7,71.9,45.6,11.0,26.0,26.7,67.8,2022
22,United Kingdom,161.7,88.8,53.5,74.8,69.7,8.9,34.4,40.2,88.1,2022
23,Canada,160.4,88.0,57.1,71.3,70.2,7.5,33.6,28.8,56.0,2022
24,United Arab Emirates,160.4,92.2,84.9,68.7,58.3,4.4,36.2,49.7,45.2,2022
25,Croatia,159.2,47.5,75.9,64.1,48.9,13.9,26.9,31.2,89.0,2022
26,France,156.7,85.4,47.6,80.2,74.1,9.9,35.2,42.4,89.7,2022
27,Qatar,154.5,93.7,86.2,73.5,62.8,6.2,30.1,59.9,36.0,2022
28,Ireland,154.5,82.3,54.5,52.3,76.1,6.5,37.9,34.8,89.1,2022
29,Belgium,151.9,79.7,54.6,75.5,72.6,7.1,36.9,50.1,86.0,2022
30,Singapore,151.6,91.3,72.4,71.1,84.0,17.5,41.2,33.3,57.5,2022
31,Slovakia,151.2,54.7,69.8,60.3,44.7,11.2,28.2,39.1,78.1,2022
32,Latvia,150.8,51.6,61.3,62.4,48.5,8.1,31.2,32.7,74.7,2022
33,Saudi Arabia,149.5,91.8,75.3,60.9,50.4,2.8,28.3,63.8,46.0,2022
34,Cyprus,147.1,57.3,67.9,52.0,59.0,6.4,22.9,56.9,93.3,2022
35,Israel,146.1,75.6,67.9,73.8,88.1,13.5,36.4,57.7,94.0,2022
36,Italy,141.1,61.7,54.8,66.8,66.5,8.6,33.8,54.1,91.5,2022
37,Taiwan,140.2,58.3,84.1,86.4,62.4,21.8,31.7,64.7,81.6,2022
38,Poland,140.0,60.0,70.2,57.8,39.0,11.2,31.8,54.7,76.0,2022
39,Hungary,137.1,52.0,65.7,53.4,40.7,10.9,35.5,47.9,80.3,2022
40,South Africa,136.0,78.4,23.9,64.0,42.1,3.1,39.3,56.6,95.3,2022
41,Puerto Rico,133.8,72.8,37.8,57.7,66.5,4.0,34.2,50.0,71.2,2022
42,Romania,133.4,48.1,71.2,56.2,35.2,10.4,33.6,58.6,77.6,2022
43,Bulgaria,130.1,46.0,61.3,56.4,38.4,7.7,29.4,64.3,82.8,2022
44,Greece,129.2,39.7,52.6,57.3,56.2,10.1,33.8,51.9,94.2,2022
45,Bosnia And Herzegovina,127.1,44.1,57.8,54.3,36.1,10.8,26.0,60.9,80.5,2022
46,South Korea,125.0,76.9,73.5,82.7,73.2,29.4,40.0,62.4,68.4,2022
47,Mexico,124.9,38.6,46.3,72.8,35.3,8.7,39.3,58.5,84.0,2022
48,Turkey,124.1,32.9,60.3,70.8,28.3,10.3,44.2,65.5,93.8,2022
49,Uruguay,122.3,30.1,48.6,68.4,52.1,20.1,37.3,45.2,98.0,2022
50,Costa Rica,122.1,39.9,46.1,62.7,47.0,10.6,60.2,44.7,99.5,2022
51,Georgia,121.1,31.1,75.7,54.2,30.2,12.0,35.4,69.3,84.2,2022
52,Ecuador,118.8,31.8,42.8,69.3,37.3,12.5,38.9,58.2,94.5,2022
53,Malaysia,118.0,55.3,44.3,70.1,37.0,9.8,37.2,62.1,57.5,2022
54,Kuwait,117.3,78.6,66.6,59.4,48.7,12.3,33.3,66.1,20.2,2022
55,Serbia,117.2,37.8,61.7,52.5,36.2,16.5,30.8,62.9,83.2,2022
56,Tunisia,114.6,27.8,55.7,56.5,27.9,11.7,32.7,70.8,93.2,2022
57,Panama,114.3,33.1,56.1,61.1,51.4,11.2,37.1,58.7,67.8,2022
58,Jordan,113.9,31.3,59.8,65.6,49.2,8.0,41.2,76.3,89.0,2022
59,Ukraine,111.9,37.2,53.1,54.3,30.7,10.9,37.7,62.9,70.7,2022
60,India,111.0,49.7,55.4,65.7,24.4,10.2,46.5,73.1,65.1,2022
61,North Macedonia,109.6,35.4,59.1,55.8,31.4,12.5,26.3,79.7,76.3,2022
62,Malta,109.5,44.2,59.2,45.6,67.8,13.1,29.1,81.0,97.4,2022
63,Belarus,108.5,31.8,41.6,45.6,30.9,16.7,30.2,44.8,64.4,2022
64,Morocco,107.5,34.4,50.9,46.7,33.8,12.6,36.3,69.3,90.0,2022
65,Brazil,107.0,27.8,33.0,57.8,33.2,16.3,41.3,53.8,97.2,2022
66,Argentina,105.4,30.7,35.9,69.3,34.7,26.0,43.3,51.2,98.3,2022
67,China,105.1,60.0,70.6,66.4,41.8,29.0,40.0,80.6,78.4,2022
